0.8672% 0.7018% 1.24 10622 1740175 0.2175 5978 
   percent max, min, rate, new flowlet num, total flowlet size, percent, flowlet fid num, disorder num 

 group percent 0.8672%  0.7018%  1.24  10622  1740175  0.2175  5978  309628 

port 0 , pkt num = 69373
port 1 , pkt num = 66760
port 2 , pkt num = 66292
port 3 , pkt num = 66076
port 4 , pkt num = 65738
port 5 , pkt num = 65665
port 6 , pkt num = 65606
port 7 , pkt num = 65554
port 8 , pkt num = 65405
port 9 , pkt num = 65252
port 10 , pkt num = 65192
port 11 , pkt num = 65046
port 12 , pkt num = 65026
port 13 , pkt num = 64893
port 14 , pkt num = 64853
port 15 , pkt num = 64821
port 16 , pkt num = 64810
port 17 , pkt num = 64804
port 18 , pkt num = 64791
port 19 , pkt num = 64573
port 20 , pkt num = 64571
port 21 , pkt num = 64539
port 22 , pkt num = 64530
port 23 , pkt num = 64473
port 24 , pkt num = 64430
port 25 , pkt num = 64413
port 26 , pkt num = 64344
port 27 , pkt num = 64323
port 28 , pkt num = 64288
port 29 , pkt num = 64174
port 30 , pkt num = 64143
port 31 , pkt num = 64138
port 32 , pkt num = 64047
port 33 , pkt num = 64019
port 34 , pkt num = 63918
port 35 , pkt num = 63789
port 36 , pkt num = 63777
port 37 , pkt num = 63755
port 38 , pkt num = 63695
port 39 , pkt num = 63667
port 40 , pkt num = 63602
port 41 , pkt num = 63579
port 42 , pkt num = 63511
port 43 , pkt num = 63505
port 44 , pkt num = 63436
port 45 , pkt num = 63391
port 46 , pkt num = 63293
port 47 , pkt num = 63240
port 48 , pkt num = 63237
port 49 , pkt num = 63227
port 50 , pkt num = 63120
port 51 , pkt num = 63071
port 52 , pkt num = 63050
port 53 , pkt num = 62966
port 54 , pkt num = 62895
port 55 , pkt num = 62861
port 56 , pkt num = 62853
port 57 , pkt num = 62826
port 58 , pkt num = 62814
port 59 , pkt num = 62792
port 60 , pkt num = 62783
port 61 , pkt num = 62761
port 62 , pkt num = 62658
port 63 , pkt num = 62570
port 64 , pkt num = 62433
port 65 , pkt num = 62407
port 66 , pkt num = 62386
port 67 , pkt num = 62366
port 68 , pkt num = 62352
port 69 , pkt num = 62323
port 70 , pkt num = 62285
port 71 , pkt num = 62256
port 72 , pkt num = 62110
port 73 , pkt num = 62000
port 74 , pkt num = 61940
port 75 , pkt num = 61911
port 76 , pkt num = 61884
port 77 , pkt num = 61878
port 78 , pkt num = 61791
port 79 , pkt num = 61756
port 80 , pkt num = 61738
port 81 , pkt num = 61727
port 82 , pkt num = 61643
port 83 , pkt num = 61557
port 84 , pkt num = 61534
port 85 , pkt num = 61532
port 86 , pkt num = 61514
port 87 , pkt num = 61456
port 88 , pkt num = 61452
port 89 , pkt num = 61378
port 90 , pkt num = 61349
port 91 , pkt num = 61334
port 92 , pkt num = 61226
port 93 , pkt num = 61217
port 94 , pkt num = 61205
port 95 , pkt num = 61189
port 96 , pkt num = 61179
port 97 , pkt num = 60996
port 98 , pkt num = 60967
port 99 , pkt num = 60944
port 100 , pkt num = 60856
port 101 , pkt num = 60784
port 102 , pkt num = 60765
port 103 , pkt num = 60752
port 104 , pkt num = 60658
port 105 , pkt num = 60603
port 106 , pkt num = 60545
port 107 , pkt num = 60509
port 108 , pkt num = 60456
port 109 , pkt num = 60383
port 110 , pkt num = 60277
port 111 , pkt num = 60246
port 112 , pkt num = 60208
port 113 , pkt num = 60156
port 114 , pkt num = 60149
port 115 , pkt num = 60015
port 116 , pkt num = 59959
port 117 , pkt num = 59641
port 118 , pkt num = 59473
port 119 , pkt num = 59442
port 120 , pkt num = 59429
port 121 , pkt num = 59016
port 122 , pkt num = 58936
port 123 , pkt num = 58403
port 124 , pkt num = 58156
port 125 , pkt num = 57697
port 126 , pkt num = 57526
port 127 , pkt num = 56141
